user_id,act_timestamp,act_type
83401,2019-01-23,Add_Flavour
83401,2019-01-23,Select_Category
91888,2019-01-14,Add_Flavour
55010,2019-01-13,Add_Flavour
55010,2019-01-19,Select_Category
27708,2019-01-22,Add_Flavour
82541,2019-01-30,Add_Flavour
39955,2019-01-11,Add_Flavour
99156,2019-01-28,Add_Flavour
97058,2019-01-20,Add_Flavour
97058,2019-01-20,Select_Category
59649,2019-01-27,Add_Flavour
59748,2019-01-27,Add_Flavour
59748,2019-02-09,Select_Category
90905,2019-01-19,Add_Flavour
90905,2019-01-21,Select_Category
73890,2019-01-22,Add_Flavour
38651,2019-01-08,Add_Flavour
38651,2019-01-08,Select_Category
95552,2019-01-31,Add_Flavour
95552,2019-02-03,Select_Category
75212,2019-01-26,Add_Flavour
46829,2019-01-23,Add_Flavour
46829,2019-01-24,Select_Category
12325,2019-01-16,Add_Flavour
40914,2019-02-08,Add_Flavour
60092,2019-01-24,Add_Flavour
7149,2019-01-18,Add_Flavour
7149,2019-02-01,Select_Category
67059,2019-01-19,Add_Flavour
67059,2019-01-25,Select_Category
51979,2019-01-26,Add_Flavour
51979,2019-02-04,Select_Category
55966,2019-01-30,Add_Flavour
46915,2019-02-02,Add_Flavour
12626,2019-01-21,Add_Flavour
61559,2019-01-18,Add_Flavour
61559,2019-01-19,Select_Category
58613,2019-01-20,Add_Flavour
58613,2019-01-25,Select_Category
55310,2019-02-04,Add_Flavour
49070,2019-01-20,Add_Flavour
49070,2019-01-21,Select_Category
21203,2019-02-05,Add_Flavour
21203,2019-02-07,Select_Category
75604,2019-01-24,Add_Flavour
42474,2019-01-25,Add_Flavour
44377,2019-01-15,Add_Flavour
44377,2019-02-01,Select_Category
53120,2019-01-24,Add_Flavour
53120,2019-01-31,Select_Category
51290,2019-02-04,Add_Flavour
23816,2019-01-29,Add_Flavour
23816,2019-01-31,Select_Category
69912,2019-01-20,Add_Flavour
69912,2019-02-04,Select_Category
17259,2019-02-10,Add_Flavour
73952,2019-01-22,Add_Flavour
98000,2019-01-21,Add_Flavour
16768,2019-01-24,Add_Flavour
16768,2019-01-27,Select_Category
51529,2019-01-25,Add_Flavour
91263,2019-01-18,Add_Flavour
91263,2019-01-29,Select_Category
34005,2019-01-31,Add_Flavour
61009,2019-02-08,Add_Flavour
1919,2019-01-18,Add_Flavour
1919,2019-01-30,Select_Category
68867,2019-02-02,Add_Flavour
68867,2019-02-08,Select_Category
14029,2019-02-03,Add_Flavour
29636,2019-01-13,Add_Flavour
29636,2019-01-22,Select_Category
16630,2019-01-17,Add_Flavour
